"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2","2","100nF","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm",""
"2","D1, D5, D6, D7","4","1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"3","J1","1","Led Vermelho","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"4","J2","1","Led Verde","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"5","J3","1","Botão config ","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"6","J4","1","Conn_01x05","My_library_footprint:KRE_5Vias",""
"7","J5","1","Conn_01x06","My_library_footprint:KRE_6Vias",""
"8","J6","1","Conn_01x03","My_library_footprint:KK_3Vias",""
"9","J7, J9, J10","3","KRE_3_vias","My_library_footprint:KRE_3Vias",""
"10","J8, J11","2","~","My_library_footprint:KRE_2Vias",""
"11","J12","1","RTC-DS3231","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical",""
"12","K4, K5, K6","3","AX1RC2","My_library_footprint:AX1RC",""
"13","LED3, LED4, LED5","3","LED_VM","LED_THT:LED_D3.0mm",""
"14","Q1, Q2","2","BC547","Package_TO_SOT_THT:TO-92_Inline",""
"15","R1, R23, R26","3","820R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"16","R2, R5, R18","3","10K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"17","R3","1","750R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"18","R4","1","2K2","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"19","R6","1","20K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"20","R7","1","100R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"21","R8, R9, R21, R24","4","330R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"22","R11","1","4K7","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"23","R16","1","3K3","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"24","R17","1","220K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"25","R22, R25","2","1K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"26","U1","1","LM358","Package_DIP:DIP-8_W7.62mm",""
"27","U3","1","~","My_library_footprint:Módulo_DC-DC_2576",""
"28","U4, U6, U7","3","CNY17-1","Package_DIP:DIP-6_W7.62mm_Socket",""
"29","U5","1","~","My_library_footprint:ESP32_DevKit",""
